('the', 'DET')43627
('intercontinental', 'ADJ')5
('ranges', 'NOUN')7
('inspire', 'VERB')3
('miscarried', 'VERB')1
('anger', 'NOUN')39
('resentment', 'NOUN')11
('sphere', 'NOUN')12
('surge', 'NOUN')4
('animosity', 'NOUN')2
('intent', 'ADJ')1
('compulsively', 'ADV')1
('footsteps', 'NOUN')4
('strives', 'VERB')2
('emulate', 'VERB')3
('sputnik', 'NOUN')1
('chagrin', 'NOUN')4
('satellites', 'NOUN')4
('orbit', 'NOUN')5
('perfectly', 'ADV')22
('imitate', 'VERB')1
('statesmanlike', 'ADJ')1
('folly', 'NOUN')7
('turns', 'VERB')17
('paeans', 'NOUN')1
('joy', 'NOUN')21
('publicists', 'NOUN')1
('vocal', 'ADJ')11
('berliners', 'NOUN')1
('migrating', 'VERB')1
('flood', 'NOUN')10
('morale', 'NOUN')15
('unfavorable', 'ADJ')3
('2,200,000', 'NUM')1
('sixty-five', 'NUM')3
('12.8', 'NUM')1
('fifteen', 'NUM')23
('crossman', 'NOUN')2
('m.p.', 'NOUN')1
('manchester', 'NOUN')5
('guardian', 'NOUN')5
('departures', 'NOUN')4
('1,900', 'NUM')1
('partly', 'ADV')30
('counterbalanced', 'VERB')1
('arrivals', 'NOUN')1
('distinct', 'ADJ')30
('deadly', 'ADJ')9
('gallant', 'ADJ')3
('half-city', 'NOUN')1
('arnold-foster', 'NOUN')1
("employers'", 'NOUN')1
('front-line', 'NOUN')1
('resilience', 'NOUN')1
('amazing', 'ADJ')12
('reunite', 'VERB')1
('refusing', 'VERB')3
('boundary', 'NOUN')13
('blocks', 'NOUN')30
('avail', 'VERB')2
('lippmann', 'NOUN')3
('sober', 'ADJ')11
('commentators', 'NOUN')2
('367', 'NUM')1
('glow', 'NOUN')8
('graveyard', 'NOUN')5
('intransigence', 'NOUN')2
('vacancy', 'NOUN')4
("stalin's", 'NOUN')4
('mausoleum', 'NOUN')1
('lenin', 'NOUN')6
('unprecedented', 'ADJ')6
('mild', 'ADJ')8
('chastisement', 'NOUN')2
('haestier', 'NOUN')1
('tales', 'NOUN')9
('cromwell', 'NOUN')2
('disinterred', 'VERB')1
('hanged', 'VERB')2
('tyburn', 'NOUN')1
('westminster', 'NOUN')22
('gallows', 'NOUN')1
('posthumous', 'ADJ')1
('punishments', 'NOUN')2
('stalin', 'NOUN')2
('1899', 'NUM')1
('statue', 'NOUN')10
('whitehall', 'NOUN')1
('presumably', 'ADV')30
('occupancy', 'NOUN')3
('crowded', 'VERB')20
('deplores', 'VERB')1
('karl', 'NOUN')7
('marx', 'NOUN')7
('macmillan', 'NOUN')1
('seventy-eight', 'NUM')1
('morticians', 'NOUN')1
('presentable', 'ADJ')1
('stature', 'NOUN')8
('lodge', 'VERB')1
('musing', 'VERB')1
('instability', 'NOUN')3
('exhumations', 'NOUN')1
('rehabilitations', 'NOUN')1
('suppose', 'VERB')71
('rake', 'VERB')2
('misdeeds', 'NOUN')5
('predecessor', 'NOUN')5
('applauding', 'VERB')2
('dispossession', 'NOUN')1
('u', 'NOUN')9
('thant', 'NOUN')5
('burma', 'NOUN')10
('influential', 'ADJ')8
('mongi', 'NOUN')1
('boland', 'NOUN')1
('neutralists', 'NOUN')1
('emerged', 'VERB')14
('unlikely', 'ADJ')12
('waylaid', 'VERB')1
('candidacy', 'NOUN')3
('in-fighting', 'NOUN')1
('squabbles', 'NOUN')2
('game', 'VERB')1
("secretaries'", 'NOUN')1
('gentleman', 'NOUN')17
('qualification', 'NOUN')5
('augurs', 'VERB')1
('buddhist', 'NOUN')1
('sanctity', 'NOUN')3
('dogma', 'NOUN')2
('unshakable', 'ADJ')1
('weltanschauung', 'NOUN')1
('compromises', 'NOUN')1
('troika', 'NOUN')1
('dormant', 'ADJ')3
('neutralism', 'NOUN')4
('precedents', 'NOUN')2
('structurally', 'ADV')2
('fluid', 'ADJ')2
('pessimists', 'NOUN')1
('plunged', 'VERB')9
('sole', 'ADJ')10
('staple', 'NOUN')1
('mentalities', 'NOUN')1
('crave', 'VERB')2
('salsich', 'NOUN')1
('engh', 'NOUN')1
('372', 'NUM')1
('connotations', 'NOUN')2
('deliberately', 'ADV')20
('vigilantism', 'NOUN')1
('chevrolet', 'NOUN')1
('paramilitary', 'ADJ')1
('foley', 'NOUN')1
('invaders', 'NOUN')5
('swarm', 'VERB')1
('commando-trained', 'ADJ')1
('mobilized', 'VERB')4
('fast-moving', 'ADJ')1
("minute's", 'NOUN')1
('snook', 'NOUN')1
('commando', 'NOUN')2
('fetching', 'ADJ')1
('launcher', 'NOUN')1
('dump', 'NOUN')1
('carbines', 'NOUN')1
('pistols', 'NOUN')3
('accessories', 'NOUN')4
('bouffe', 'ADJ')1
('mount', 'VERB')2
('frenzy', 'NOUN')5
('committed', 'VERB')18
('doctrine', 'NOUN')35
('frustration', 'NOUN')6
('imagined', 'VERB')15
('civic', 'ADJ')13
('naive', 'ADJ')5
('hunt', 'VERB')4
('traitors', 'NOUN')3
('gods', 'NOUN')8
('resemble', 'VERB')6
('moloch', 'NOUN')3
('phases', 'NOUN')12
('idol-worship', 'NOUN')1
('accompaniment', 'NOUN')7
('heathenish', 'ADJ')1
('cult', 'NOUN')7
('motor-car', 'NOUN')1
('exceeding', 'VERB')5
('butchery', 'NOUN')5
('40,000', 'NUM')7
('satiate', 'VERB')1
('blood-lust', 'NOUN')1
('excessive', 'ADJ')19
('accorded', 'VERB')4
('slaughtered', 'VERB')2
('tremble', 'VERB')5
('holocaust', 'NOUN')5
('hanging', 'NOUN')1
('civilized', 'VERB')8
('usage', 'NOUN')11
('fanatical', 'ADJ')2
('swift', 'NOUN')4
('successive', 'ADJ')7
('fatality', 'NOUN')1
('publicizing', 'VERB')2
('media', 'NOUN')6
('bigotry', 'NOUN')2
('vengeance', 'NOUN')5
('meat-wagon', 'NOUN')1
('twenty-five', 'NUM')12
('thousandth', 'ADJ')1
('corpse', 'NOUN')4
('execution', 'NOUN')7
('centralia', 'NOUN')1
('census', 'NOUN')5
('grandstand', 'NOUN')1
('awnings', 'NOUN')2
('midsummer', 'NOUN')3
('ambassadors', 'NOUN')2
("rogues'", 'NOUN')1
('processional', 'NOUN')1
('sprung', 'VERB')4
('symbolical', 'ADJ')1
('reminder', 'NOUN')8
('inalienable', 'ADJ')1
('alter', 'VERB')7
('grinds', 'VERB')1
('hanging', 'VERB')21
('accountability', 'NOUN')2
('salubrious', 'ADJ')1
('partially', 'ADV')18
('challenge', 'VERB')7
('ancillary', 'ADJ')2
('proceeding', 'VERB')3
('hither', 'ADV')1
('yon', 'ADV')1
('cardinal', 'ADJ')3
('sin', 'NOUN')31
('stasis', 'NOUN')3
('true', 'ADV')5
('adherents', 'NOUN')4
('miniscule', 'ADJ')1
('sect', 'NOUN')2
('credo', 'NOUN')8
('home-keeping', 'ADJ')1
('happiest', 'ADJ')3
('disreputable', 'ADJ')1
('socinianism', 'NOUN')1
('nonetheless', 'ADV')8
('stubborn', 'ADJ')8
('tenacious', 'ADJ')1
('hardshell', 'NOUN')1
('baptists', 'NOUN')2
('embodied', 'VERB')5
('wont', 'ADJ')2
('ornament', 'NOUN')1
('tarheelia', 'NOUN')1
("ruark's", 'NOUN')1
('persuaded', 'VERB')9
('curse', 'NOUN')4
("gallivantin'", 'VERB')1
('yearly', 'ADJ')4
('hecatomb', 'NOUN')1
('justified', 'VERB')15
('ardent', 'ADJ')4
('somehow', 'ADV')44
('induced', 'VERB')4
('morality', 'NOUN')20
('sanity', 'NOUN')2
('recourse', 'NOUN')4
('custom', 'NOUN')9
('annum', 'NOUN')3
('clouds', 'NOUN')32
('silently', 'ADV')9
('invisibly', 'ADV')2
('us', 'NOUN')3
('uk', 'NOUN')1
('blasts', 'NOUN')4
('descends', 'VERB')2
('radioactivity', 'NOUN')2
('dose', 'NOUN')6
('virus', 'NOUN')3
('discomfort', 'NOUN')6
('dies', 'VERB')4
('cumulative', 'ADJ')6
('inveigh', 'VERB')1
('poisoning', 'NOUN')1
('pose', 'NOUN')1
('cynical', 'ADJ')8
('irresponsible', 'ADJ')7
('dismay', 'NOUN')5
('foreboding', 'NOUN')2
('legitimate', 'ADJ')11
('holier-than-thou', 'ADJ')1
('detonated', 'VERB')3
('devices', 'NOUN')24
('above-ground', 'ADJ')1
('glenn', 'NOUN')5
('seaborg', 'NOUN')1
('las', 'NOUN')2
('fall', 'VERB')43
('abstain', 'VERB')1
('balloons', 'NOUN')1
('imperative', 'ADJ')6
('biological', 'ADJ')9
('genetic', 'ADJ')5
('understood', 'VERB')35
("science's", 'NOUN')1
('worst-marked', 'ADJ')1
('tricky', 'ADJ')1
('depths', 'NOUN')15
('scientists', 'NOUN')23
('resulting', 'VERB')21
('warrant', 'VERB')8
('intake', 'NOUN')4
('substances', 'NOUN')19
('phs', 'NOUN')2
('conceded', 'VERB')9
('particles', 'NOUN')19
('hedged', 'VERB')1
('bets', 'NOUN')3
('slight', 'ADJ')31
('conclude', 'VERB')11
('indeterminate', 'ADJ')3
('linus', 'NOUN')1
('pauling', 'NOUN')7
('biologic', 'ADJ')1
('totaled', 'VERB')2
('germ', 'NOUN')2
('plasm', 'NOUN')1
('gross', 'NOUN')7
('defects', 'NOUN')11
('long-lived', 'ADJ')2
('carbon-14', 'NOUN')1
('fusion', 'NOUN')12
('embryonic', 'ADJ')1
('neonatal', 'ADJ')1
('childhood', 'NOUN')19
('stillbirths', 'NOUN')1
('200,000', 'NUM')4
('radiation-produced', 'ADJ')1
('diseases', 'NOUN')11
('leukemia', 'NOUN')2
('hemisphere', 'NOUN')10
('concentrating', 'VERB')4
("pauling's", 'NOUN')1
('insufficient', 'ADJ')6
('covering', 'VERB')16
('agreed-on', 'ADJ')1
('generalizations', 'NOUN')5
('researcher', 'NOUN')2
('inhibited', 'VERB')4
('excusable', 'ADJ')1
('downgraded', 'VERB')2
("mccone's", 'NOUN')1
('lauritsen', 'NOUN')1
('shies', 'VERB')1
('exposure', 'NOUN')16
("aec's", 'NOUN')1
('doses', 'NOUN')11
('herein', 'ADV')3
('aec', 'NOUN')2
('bind', 'NOUN')1
('box', 'VERB')1
('resuming', 'VERB')3
('atmospheric', 'ADJ')8
('confined', 'VERB')14
('bleak', 'ADJ')7
('fission', 'NOUN')5
('villains', 'NOUN')3
('nastier', 'ADJ')1
('mid', 'ADJ')2
('prevailing', 'VERB')15
('cold', 'NOUN')16
('bureaucrat', 'NOUN')1
('halcyon', 'ADJ')1
('haul', 'VERB')2
('broom', 'NOUN')2
('sweep', 'VERB')5
('sidewalks', 'NOUN')3
('roof', 'NOUN')46
('indignant', 'ADJ')6
('footwork', 'NOUN')1
('decides', 'VERB')7
('megaton', 'NOUN')1
('equivalent', 'NOUN')6
('assuming', 'VERB')11
('computation', 'NOUN')4
('three-power', 'ADJ')1
('moratorium', 'NOUN')1
('inescapable', 'ADJ')4
('thrust', 'VERB')7
('historically', 'ADV')14
('dilemmas', 'NOUN')2
('acute', 'ADJ')6
("'50's", 'NOUN')1
('choices', 'NOUN')5
('unilaterally', 'ADV')1
('viable', 'ADJ')5
('unpopular', 'ADJ')2
('domestically', 'ADV')1
('contaminated', 'VERB')3
('presupposes', 'VERB')2
('demonstrates', 'VERB')4
('wishful', 'ADJ')5
('sane', 'ADJ')7
('fail', 'VERB')17
('contamination', 'NOUN')3
('cessation', 'NOUN')1
('proposing', 'VERB')2
('cogently', 'ADV')1
('sufficiency', 'NOUN')1
('conduct', 'VERB')6
('confidently', 'ADV')2
('premise', 'NOUN')5
('enable', 'VERB')15
('ethical', 'ADJ')20
('leap', 'NOUN')3
('militarily', 'ADV')2
('unwittingly', 'ADV')3
('brutalized', 'VERB')1
('superiority', 'NOUN')10
('quantity', 'NOUN')21
('deceiving', 'VERB')1
('justifiable', 'ADJ')3
('radically', 'ADV')9
('evaded', 'VERB')2
('glossed', 'VERB')1
('weapon', 'NOUN')29
('evil', 'NOUN')25
('like', 'ADJ')21
('refusal', 'NOUN')11
('ecumenical', 'ADJ')3
('holiness', 'NOUN')1
('pope', 'NOUN')22
('yearning', 'NOUN')4
('protestant', 'ADJ')45
('ecumenicists', 'NOUN')1
('christendom', 'NOUN')2
('abrupt', 'ADJ')7
('perspective', 'NOUN')14
('sees', 'VERB')16
('renewal', 'NOUN')4
('purification', 'NOUN')2
('irrelevant', 'ADJ')8
('pontiff', 'NOUN')1
('revivified', 'VERB')1
('catholicism', 'NOUN')8
('designation', 'NOUN')1
('theologians', 'NOUN')7
('reverses', 'VERB')2
('vatican', 'NOUN')4
('cicognani', 'NOUN')1
('archbishop', 'NOUN')5
('canterbury', 'NOUN')3
('augustin', 'NOUN')1
('secretariate', 'NOUN')1
('pervades', 'VERB')1
('orthodox', 'ADJ')16
('discouragement', 'NOUN')1
('temptation', 'NOUN')7
('abandon', 'VERB')12
('omnipotence', 'NOUN')1
('irresistible', 'ADJ')5
('efficacy', 'NOUN')3
('prayer', 'NOUN')15
('respond', 'VERB')17
("administration's", 'NOUN')1
('estimates', 'VERB')1
('6.9', 'NUM')2
('apologetic', 'ADJ')2
('unbalanced', 'VERB')3
('economize', 'VERB')2
('sympathize', 'VERB')6
('furthermore', 'ADV')23
('reassuring', 'VERB')4
('farewell', 'NOUN')10
('booby-trap', 'NOUN')1
('extravagant', 'ADJ')3
('projections', 'NOUN')5
('expenditure', 'NOUN')5
('necessitated', 'VERB')8
('penny-wise', 'ADJ')2
('eisenhhower', 'NOUN')1
('crises', 'NOUN')9
('similarly', 'ADV')21
('neglected', 'VERB')12
('anti-recession', 'ADJ')1
('900', 'NUM')1
('persists', 'VERB')6
('mollify', 'VERB')2
('intransigents', 'NOUN')1
('tightening', 'VERB')2
('economizing', 'VERB')1
('battle-cry', 'NOUN')1
('introduction', 'NOUN')25
('dialogue', 'NOUN')8
('strikingly', 'ADV')5
('thirty-fourth', 'ADJ')1
('protestants', 'NOUN')14
('discussant', 'NOUN')1
('evident', 'ADJ')36
('non-catholic', 'ADJ')2
('plentiful', 'ADJ')3
("o'brien", 'NOUN')2
('judgments', 'NOUN')25
('aristotelean-thomistic', 'ADJ')1
('thorough', 'ADJ')17
('going-over', 'NOUN')1
('reassert', 'VERB')1
('lebanese', 'ADJ')1
('moslem', 'NOUN')1
('islamic', 'ADJ')3
('c.a.i.p.', 'NOUN')1
('unmistakable', 'ADJ')3
('functioning', 'VERB')3
('generality', 'NOUN')2
('objective', 'ADJ')18
('philosophical', 'ADJ')20
('differences', 'NOUN')51
('undeniable', 'ADJ')4
('approaches', 'NOUN')9
("one's", 'DET')34
('insights', 'NOUN')11
('contribute', 'VERB')25
('ethically', 'ADV')2
('spirited', 'VERB')3
('give-and-take', 'NOUN')1
('focus', 'VERB')10
('destructive', 'ADJ')21
('tiniest', 'ADJ')3
('bearing', 'NOUN')4
('pervasive', 'ADJ')3
('ideology', 'NOUN')10
('perceive', 'VERB')9
('imperative', 'NOUN')2
('everywhere', 'ADV')29
('formosa', 'NOUN')4
('searching', 'VERB')13
('self-delusion', 'NOUN')1
('hypocrisy', 'NOUN')4
('thoughts', 'NOUN')36
('hypnotized', 'VERB')1
("septuagenarian's", 'NOUN')1
('dreamy', 'ADJ')3
('irredentism', 'NOUN')1
('pointedly', 'ADV')2
('kai-shek', 'NOUN')1
('practically', 'ADV')31
('subjectively', 'ADV')3
('re-enter', 'VERB')1
('mainland', 'NOUN')11
('smiled', 'VERB')36
('smiles', 'VERB')3
('bloke', 'NOUN')1
('asinine', 'ADJ')2
('sympathetically', 'ADV')1
("duke's", 'NOUN')2
("browning's", 'NOUN')1
('duchess', 'NOUN')1
('interpreter', 'NOUN')6
('wonders', 'VERB')2
('taipei', 'NOUN')1
('smarted', 'VERB')1
('rebuff', 'NOUN')3
('itinerary', 'NOUN')1
('coolly', 'ADV')4
('translator', 'NOUN')1
('redundant', 'ADJ')3
('yourself', 'PRON')42
('taiwan', 'NOUN')7
('relevant', 'ADJ')18
('sixty', 'NUM')10
('crucially', 'ADV')1
('liberation', 'NOUN')4
('liberate', 'VERB')3
('manpower', 'NOUN')4
('60-1', 'NUM')1
('6-1', 'NUM')1
('vary', 'VERB')19
('450,000', 'NUM')1
('contemplated', 'VERB')5
('skill', 'NOUN')28
('formosan', 'ADJ')1
('best', 'ADV')35
('conscripted', 'VERB')2
('passion', 'NOUN')18
('overtly', 'ADV')2
('perforce', 'ADV')1
('mao', 'NOUN')2
('sympathies', 'NOUN')4
('psychological', 'ADJ')20
('stress', 'VERB')6
('cultivated', 'VERB')7
('extirpated', 'VERB')1
('depersonalization', 'NOUN')1
('starvation', 'NOUN')5
('rebellion', 'NOUN')5
('discontent', 'NOUN')6
('generals', 'NOUN')9
('admirals', 'NOUN')1
('fed', 'VERB')27
('despot', 'NOUN')2
('cousins', 'NOUN')7
('aunts', 'NOUN')3
('nephews', 'NOUN')5
('privations', 'NOUN')2
('endurance', 'NOUN')11
('leninism-marxism', 'NOUN')1
('exegete', 'NOUN')1
('purity', 'NOUN')7
('secure', 'ADJ')9
('galvanizing', 'VERB')2
('instant', 'ADJ')5
('defy', 'VERB')5
('catalytic', 'ADJ')1
('commune', 'NOUN')2
('ensure', 'VERB')6
('poverty', 'NOUN')13
('residue', 'NOUN')8
('enormous', 'ADJ')28
('indigent', 'ADJ')1
('down-and-out', 'ADJ')1
('clan', 'NOUN')1
('granary', 'NOUN')1
('undertook', 'VERB')5
('traditionally', 'ADV')5
('national', 'NOUN')3
('scarcity', 'NOUN')2
('engendered', 'VERB')8
('calamitous', 'ADJ')2
('tibet', 'NOUN')7
('buffer', 'NOUN')1
('semi-independent', 'ADJ')1
('hostile', 'ADJ')14
('extirpating', 'VERB')1
('bleed', 'VERB')1
('algeria', 'NOUN')2
('bleeding', 'VERB')5
('heightening', 'VERB')1
('imposition', 'NOUN')4
('snap', 'VERB')8
('foremost', 'ADV')5
('inhuman', 'ADJ')6
('idiocies', 'NOUN')1
('arrives', 'VERB')6
('vouchsafes', 'VERB')1
('gladly', 'ADV')3
('jocularly', 'ADV')1
('invite', 'VERB')5
('planeload', 'NOUN')1
('quemoy', 'NOUN')2
('odd', 'ADJ')30
('scars', 'NOUN')8
('indecisiveness', 'NOUN')1
('uncertain', 'ADJ')13
('offshore', 'ADJ')1
('crystallization', 'NOUN')3
('flux', 'NOUN')6
('poised', 'VERB')5
('frontiers', 'NOUN')3
('buildup', 'NOUN')2
('concealed', 'VERB')5
('strutting', 'VERB')1
('gestures', 'NOUN')5
('burns', 'VERB')1
('self-deceiving', 'ADJ')1
('rags', 'NOUN')4
('hurriedly', 'ADV')2
('too-naked', 'ADJ')1
('truth-revealing', 'ADJ')1
('fog', 'NOUN')17
('tap', 'NOUN')3
('emergencies', 'NOUN')7
('clouds', 'VERB')1
('instantly', 'ADV')9
('bone', 'NOUN')27
('jelly', 'NOUN')2
('spine', 'NOUN')5
('shockingly', 'ADV')2
('counter', 'ADV')5
('hungary-suez', 'NOUN')1
('reappears', 'VERB')2
('exposes', 'VERB')2
('cycles', 'NOUN')4
('cartoon', 'NOUN')3
('temporally', 'ADV')1
('linked', 'VERB')10
('tshombe-gizenga-goa-ghana', 'NOUN')1
('gigenza', 'NOUN')1
('gizenga', 'NOUN')1
("moscow's", 'NOUN')3
('rape', 'VERB')2
('strategically', 'ADV')1
('insane', 'ADJ')6
('removing', 'VERB')3
('equilibrium', 'NOUN')9
('suez', 'NOUN')2
('mass', 'VERB')2
('castros', 'NOUN')1
('african', 'NOUN')1
('apartheid', 'NOUN')1
('introduce', 'VERB')5
('anti-french', 'ADJ')1
('moscow-allied', 'ADJ')1
('algerian', 'ADJ')4
('fln', 'NOUN')1
('denounce', 'VERB')3
('pro-europe', 'ADJ')1
('$133', 'NOUN')1
('kwame', 'NOUN')1
('nkrumah', 'NOUN')2
('solidarity', 'NOUN')10
('turning', 'VERB')46
('materiel', 'NOUN')1
('kills', 'VERB')3
('katangans', 'NOUN')1
('supinely', 'ADV')1
('bleating', 'VERB')1
("nehru's", 'NOUN')1
('smash', 'VERB')1
('five-hundred-year-old', 'ADJ')1
('uni-directional', 'ADJ')1
('paralysis', 'NOUN')2
('constitutes', 'VERB')9
('suez-hungary', 'NOUN')2
('proves', 'VERB')9
('puzzles', 'NOUN')1
('goa', 'NOUN')1
('region', 'NOUN')45
('uncommitted', 'ADJ')2
('neutralist', 'ADJ')4
('contested', 'VERB')1
('tito', 'NOUN')1
('sukarno', 'NOUN')1
('grasp', 'VERB')7
('intelligible', 'ADJ')8
('unoriginals', 'NOUN')2
('dramatist', 'NOUN')2
('nowadays', 'ADV')6
('scan', 'VERB')2
('bestseller', 'NOUN')2
("broadway's", 'NOUN')1
('premieres', 'NOUN')2
('adaptations', 'NOUN')6
('owes', 'VERB')4
('agee', 'NOUN')1
('awkwardly', 'ADV')4
('hersey', 'NOUN')1
('advise', 'VERB')4
('consent', 'VERB')1
('shallow', 'ADJ')7
('mountainously', 'ADV')1
('boulle', 'NOUN')1
('tennessee', 'NOUN')13
("williams'", 'NOUN')1
("laurents'", 'NOUN')1
('clever', 'ADJ')12
('empty', 'ADJ')41
('imported', 'VERB')8
('originals', 'NOUN')3
('shelagh', 'NOUN')1
('delaney', 'NOUN')1
("france's", 'NOUN')1
('anouilh', 'NOUN')1
('hostage', 'NOUN')1
("ireland's", 'NOUN')2
('brendan', 'NOUN')1
('behan', 'NOUN')1
('musicals', 'NOUN')1
('camelot', 'NOUN')1
("white's", 'NOUN')4
('novels', 'NOUN')12
('tenderloin', 'NOUN')1
('do', 'NOUN')2
('re', 'NOUN')2
('mi', 'NOUN')1
('wildcat', 'NOUN')1
('unsinkable', 'ADJ')4
('molly', 'NOUN')1
('jaunty', 'ADJ')1
('charmingly', 'ADV')1
('irma', 'NOUN')1
('douce', 'ADJ')1
('technically', 'ADV')7
('dreary', 'ADJ')4
('farces', 'NOUN')1
('yum-yum', 'NOUN')1
("critic's", 'NOUN')1
('forthcoming', 'NOUN')1
('conquering', 'VERB')3
('carnival', 'NOUN')5
('adapting', 'VERB')2
('reconverting', 'VERB')1
('lili', 'NOUN')1
('dry', 'ADJ')41
('diary', 'NOUN')2
('die', 'DET')4
('fledermaus', 'NOUN')1
('merry', 'ADJ')4
('oklahoma!', 'NOUN')1
('critic', 'NOUN')10
('argue', 'VERB')14
('shakespeare', 'NOUN')30
('moliere', 'NOUN')3
('adapters', 'NOUN')2
('squeeze', 'VERB')6
('prevalence', 'NOUN')3
('tested', 'VERB')18
('producers', 'NOUN')5
('off-broadway', 'ADV')1
('comparatively', 'ADV')11
('laudably', 'ADV')1
('offering', 'VERB')16
('off-beat', 'ADJ')1
("hock's", 'NOUN')1
('stunning', 'ADJ')5
('borak', 'NOUN')1
('playwrights', 'NOUN')1
('cooch', 'NOUN')2
('terpers', 'NOUN')2
('casbah', 'NOUN')3
('subway', 'NOUN')2
('commonplace', 'ADJ')8
('yorkers', 'NOUN')1
('arabian', 'ADJ')2
('nights', 'NOUN')19
('grecian', 'NOUN')1
('egyptian', 'ADJ')2
('gardens', 'NOUN')21
('inpost', 'NOUN')1
('belly', 'NOUN')15
('burgeoning', 'VERB')2
('52nd', 'ADJ')1
('burlesque', 'NOUN')1
('joints', 'NOUN')5
('curiously', 'ADV')7
('familial', 'ADJ')1
('saloons', 'NOUN')8
('epidermis', 'NOUN')1
('boites', 'NOUN')1
('papier-mache', 'NOUN')2
('hand-painted', 'ADJ')1
('ionic', 'ADJ')6
('heretofore', 'ADV')5
('patronage', 'NOUN')5
('turkish', 'ADJ')11
('graces', 'NOUN')4
('uptown', 'ADJ')2
('maniac', 'NOUN')4
('overeager', 'ADJ')1
('sailor', 'NOUN')2
('absorption', 'NOUN')8
('shirt-sleeved', 'ADJ')1
('orchestras', 'NOUN')3
('2/4', 'NUM')1
('4/4', 'NUM')1
('guitars', 'NOUN')3
('violins', 'NOUN')1
('alien', 'ADJ')9
('sesame', 'NOUN')7
('oud', 'NOUN')1
('lute', 'NOUN')1
('darbuka', 'NOUN')1
('treelike', 'ADJ')1
('roemer', 'NOUN')1
('def', 'NOUN')1
('low-pitched', 'ADJ')1
('prim', 'ADJ')1
('dresses', 'NOUN')6
('secretarial', 'ADJ')3
('shifts', 'NOUN')10
('reappear', 'VERB')1
('harem', 'NOUN')2
('continuum', 'NOUN')7
('superbly', 'ADV')7
('ancestry', 'NOUN')5
('progeny', 'NOUN')1
('great', 'ADV')11
('cosmic', 'ADJ')16
('glides', 'VERB')1
('sideways', 'ADV')2
('shoulders', 'NOUN')34
('motionless', 'ADJ')4
('migrates', 'VERB')1
('breathing', 'VERB')10
('sends', 'VERB')4
('ripples', 'NOUN')5
('fingertips', 'NOUN')1
('far', 'ADJ')18
('speeds', 'NOUN')7
('shifte', 'NOUN')1
('telli', 'NOUN')1
('ecstatic', 'ADJ')3
('karshilama', 'NOUN')1
('greetings', 'NOUN')4
('welcome', 'NOUN')5
('improvisations', 'NOUN')1
('bends', 'NOUN')1
('crawls', 'NOUN')2
('strip', 'VERB')2
('striptease', 'NOUN')1
('crass', 'ADJ')1
('provokes', 'VERB')2
('bombardment', 'NOUN')1
('prohibit', 'VERB')2
('cosmopolitan', 'ADJ')2
('slipping', 'VERB')4
('tips', 'NOUN')13
("dancers'", 'NOUN')1
('average', 'VERB')1
('$150', 'NOUN')3
('$200', 'NOUN')6
('proffered', 'VERB')1
('drinks', 'NOUN')12
('bolt', 'VERB')2
('mid-shimmy', 'NOUN')1
('melting', 'VERB')18
('pot', 'NOUN')21
('semra', 'NOUN')1
('roadhouse', 'NOUN')1
('bristol', 'NOUN')2
('conn.', 'NOUN')1
('voluble', 'ADJ')1
('black-bearded', 'ADJ')1
('murat', 'NOUN')1
('somay', 'NOUN')1
('sol', 'NOUN')2
('hurok', 'NOUN')4
('abdomen', 'NOUN')3
('import', 'VERB')1
('haflis', 'NOUN')1
('lebanese', 'NOUN')1
('syrians', 'NOUN')1
('dance', 'VERB')10
('veils', 'NOUN')3
('origins', 'NOUN')4
('bubbled', 'VERB')2
('intriguingly', 'ADV')2
('examples', 'NOUN')33
('jemela', 'NOUN')1
('surname', 'NOUN')3
('gerby', 'NOUN')1
('indian', 'ADJ')35
('picnics', 'NOUN')1
('serene', 'NOUN')2
('gypsy', 'NOUN')3
('waist-length', 'ADJ')1
('adolescent', 'ADJ')1
('patrician', 'NOUN')1
('lithe', 'ADJ')3
('glimmering', 'VERB')1
('marlene', 'NOUN')2
('adamo', 'NOUN')1
('brazilian', 'ADJ')3
('divorcee', 'NOUN')1
('arabic', 'ADJ')3
("manhattan's", 'NOUN')1
('dances', 'VERB')1
('leila', 'NOUN')1
('malia', 'NOUN')1
('persianesque', 'ADJ')1
('miniatures', 'NOUN')1
('cascades', 'VERB')1
('likes', 'VERB')6
('gloria', 'NOUN')1
('ziraldo', 'NOUN')1
('circa', 'ADV')1
('chorus', 'NOUN')14
('toronto', 'NOUN')3
('seamen', 'NOUN')1
('turtleneck', 'NOUN')2
('sweaters', 'NOUN')2
('handkerchiefs', 'NOUN')1
('sailors', 'NOUN')4
('veil', 'NOUN')4
('trade', 'VERB')9
('button-down', 'ADJ')2
('tormented', 'VERB')2
('painters', 'NOUN')8
('austria', 'NOUN')2
('20th', 'ADJ')7
('oskar', 'NOUN')1
('kokoschka', 'NOUN')1
('unawareness', 'NOUN')2
('half-forgotten', 'ADJ')1
('austrian', 'ADJ')4
('expressionist', 'NOUN')1
('egon', 'NOUN')1
('schiele', 'NOUN')4
("critics'", 'NOUN')1
("schiele's", 'NOUN')3
('landau', 'NOUN')1
('pleasant', 'ADJ')19
('angular', 'ADJ')14
('knobby-knuckled', 'ADJ')1
('painfully', 'ADV')11
('stretched', 'VERB')17
('grotesquely', 'ADV')2
('foreshortened', 'VERB')1
('murky', 'ADJ')5
